name,brief,gua,tuan,xiang,upperSymbol,loweSymbol,combination,number,hexagramImage,remarks
乾,乾為天，健也，陽之性也。,乾，元亨利貞。,大哉乾元，萬物資始，乃統天。雲行雨施，品物流形。大明始終，六位時成，時乘六龍以御天。乾道變化，各正性命，保合大和，乃利貞。首出庶物，萬國咸寧。,天行健，君子以自強不息。,天,天,乾為天,111111,䷀,
坤,坤為地，順也，陰之性也。,坤，元亨，利牝馬之貞。君子有攸往。先迷後得，主利，西南得朋，東北喪朋，安貞吉。,至哉坤元，萬物資生，乃順承天。坤厚載物，德合无疆。含弘光大，品物咸亨。牝馬地類，行地无疆，柔順利貞。君子攸行，先迷失道，後順得常。西南得朋，乃與類行；東北喪朋，乃終有慶。安貞之吉，應地无疆。,地勢坤，君子以厚德載物。,地,地,坤為地,000000,䷁,
屯,始生之難。屯，草也。,屯，元亨利貞，勿用有攸往，利建侯。,屯，剛柔始交而難生，動乎險中，大亨貞。雷雨之動滿盈，天造草昧，宜建侯而不寧。,雲雷屯，君子以經綸。,水,雷,水雷屯,010001,䷂,
蒙,物之初生。蒙，稚也。,蒙，亨，匪我求童蒙，童蒙求我。初筮告，再三瀆，瀆則不告，利貞。,蒙，山下有險，險而止，蒙。蒙亨，以亨行時中也。匪我求童蒙，童蒙求我，志應也。初噬告，以剛中也。再三瀆，瀆則不告，瀆蒙也。蒙以養正，聖功也。,山下出泉，蒙，君子以果行育徳。,山,水,山水蒙,100010,䷃,
需,飲食訓養。需，待也,需，有孚，光亨，貞吉，利涉大川。,需，須也；險在前也。剛健而不陷，其義不困窮矣。需有孚，光亨，貞吉。位乎天位，以正中也。利涉大川，往有功也。,雲上於天，需，君子以飲食宴樂。,水,天,水天需,010111,䷄,
訟,矛盾爭訟。訟，爭也。,訟，有孚，窒惕，中吉，終凶，利見大人，不利涉大川。,訟，上剛下險，險而健訟。訟有孚窒，惕中吉，剛來而得中也。終凶；訟不可成也。利見大人；尚中正也。不利涉大川；入于淵也,天與水違行，訟，君子以作事謀始。,天,水,天水訟,111010,䷅,
師,動眾出征。師，眾也。,師貞，丈人吉，无咎。,師，眾也，貞正也，能以眾正，可以王矣。剛中而應，行險而順，以此毒天下，而民從之，吉又何咎矣。,地中有水，師，君子以容民畜衆。,地,水,地水師,000010,䷆,
比,親密比輔。比，密也。,比，吉，原筮元永貞，无咎，不寧方來，後夫凶。,比，吉也，比，輔也，下順從也。原筮元永貞，无咎，以剛中也。不寧方來，上下應也。後夫凶，其道窮也。,地上有水，比，先王以建萬國，親諸侯。,水,地,水地比,010000,䷇,
小畜,以小畜大。畜，養、聚、止。,小畜，亨，密雲不雨，自我西郊。,小畜，柔得位，而上下應之，曰小畜。健而巽，剛中而志行，乃亨。密雲不雨，尚往也。自我西郊，施未行也。,風行天上，小畜，君子以懿文徳。,風,天,風天小畜,110111,䷈,
履,踐履執禮。履，禮也。,履虎尾，不咥人，亨。,履，柔履剛也。說而應乎乾，是以履虎尾，不咥人，亨。剛中正，履帝位而不疚，光明也。,上天下澤，履，君子以辨上下，定民志。,天,澤,天澤履,111011,䷉,
泰,上下交通。泰，通也。,泰，小往大來，吉亨。,泰，小往大來，吉亨。則是天地交，而萬物通也；上下交，而其志同也。內陽而外陰，內健而外順，內君子而外小人，君子道長，小人道消也。,天地交泰，后以財成。天地之道，輔相天地之宜，以左右民。,地,天,地天泰,000111,䷊,
否,上下不交。否，閉也。,否之匪人，不利君子貞，大往小來。,否之匪人，不利君子貞。大往小來，則是天地不交，而萬物不通也；上下不交，而天下无邦也。內陰而外陽，內柔而外剛，內小人而外君子。小人道長，君子道消也。,天地不交，否，君子以儉徳辟難，不可榮以禄。,天,地,天地否,111000,䷋,
同人,與人和同。同人，親也。,同人于野，亨，利涉大川，利君子貞。,同人，柔得位得中，而應乎乾，曰同人。同人曰，同人于野，亨。利涉大川，乾行也。文明以健，中正而應，君子正也。唯君子為能通天下之志。,天與火同人，君子以類族辯物。,天,火,天火同人,111101,䷌,
大有,萬物所歸。大有，眾也。,大有，元亨。,大有，柔得尊位，大中而上下應之，曰大有。其德剛健而文明，應乎天而時行，是以元亨。,火在天上，大有。君子以遏惡揚善，順天休命。,火,天,火天大有,101111,䷍,
謙,謙不自滿。謙，退也。,謙，亨，君子有終。,謙，亨，天道下濟而光明，地道卑而上行。天道虧盈而益謙，地道變盈而流謙，鬼神害盈而福謙，人道惡盈而好謙。謙尊而光，卑而不可踰，君子之終也。,地中有山，謙。君子以裒多益寡，稱物平施。,地,山,地山謙,000100,䷎,
豫,萬物奮起。豫，樂也。,豫，利建侯、行師。,豫，剛應而志行，順以動，豫。豫，順以動，故天地如之，而況建侯行師乎？天地以順動，故日月不過，而四時不忒；聖人以順動，則刑罰清而民服。豫之時義大矣哉！,雷出地奮，豫，先王以作樂崇徳，殷薦之上帝，以配祖考。,雷,地,雷地豫,001000,䷏,
隨,隨順自然。隨，從也。,隨，元亨利貞，无咎。,隨，剛來而下柔，動而說，隨。大亨貞，无咎，而天下隨時，隨時之義大矣哉！,澤中有雷，隨，君子以嚮晦入宴息。,澤,雷,澤雷隨,011001,䷐,
